timestamp_s,elapsed_s,x,y,z,vx,vy,vz
1772662141.003033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772662141.008033,0.005000114440917969,6.403706702991367e-06,-2.5378028272377376e-05,7.64623362822893e-05,0.0012807413405982733,-0.005075605654475475,0.015292467256457859
1772662141.013033,0.009999990463256836,1.9866950869096253e-05,-6.691392530401802e-05,0.00023351275373288246,0.0026926488332209768,-0.008307179406328129,0.03141008349011863
1772662141.018033,0.015000104904174805,4.100074001937088e-05,-0.00011391640562737142,0.0004765060532484157,0.004226757830054926,-0.009400496064670682,0.04859865990310665
1772662141.023033,0.019999980926513672,7.041273612587295e-05,-0.00015413116439795814,0.0008091992606832091,0.005882399221300412,-0.008042951754117343,0.06653864148695868
1772662141.028033,0.02500009536743164,0.00010872175952464738,-0.00017544583161176224,0.0012314359583523798,0.007661804679754885,-0.004262933442760821,0.08444733953383414
1772662141.033033,0.029999971389770508,0.0001565491916977296,-0.00016726856958374363,0.0017367911625040468,0.009565486434616442,0.0016354524056037233,0.10107104083033337
1772662141.038033,0.03500008583068848,0.00021446709659410815,-0.00012149490347521047,0.0023155508234409617,0.011583580979275709,0.00915473322170663,0.11575193218738299
1772662141.043033,0.039999961853027344,0.0002830598098339272,-3.2766593640060426e-05,0.0029602004795524486,0.013718542647963808,0.017745661967030008,0.12892993122229737
1772662141.048033,0.04500007629394531,0.00036294468112126754,0.00010323660976112714,0.0036654445364592576,0.01597697425746807,0.02720064068023751,0.14104881138136174
1772662141.053033,0.05000019073486328,0.00045459547977090553,0.00029046821136475664,0.004426654813906718,0.018330159729927593,0.0374463203207259,0.15224205548949213
1772662141.058033,0.05500006675720215,0.0005583044252875201,0.0005305522616630169,0.005239816509933009,0.020741789103322902,0.04801681005965204,0.162632339205258
1772662141.063033,0.06000018119812012,0.0006742495486566666,0.0008232039265224195,0.00610090641066686,0.023189024673829304,0.05853033297188053,0.1722179801467702
1772662141.068033,0.06500005722045898,0.0008024299009373746,0.0011706920087104907,0.007005945003699546,0.025636070456141614,0.06949761643761423,0.1810077186065373
1772662141.073033,0.07000017166137695,0.0009427321759926732,0.0015794239876706071,0.007948916009435194,0.028060455011059717,0.08174639579202325,0.1885942011471297
1772662141.078033,0.07500004768371582,0.0010950935321223845,0.0020565528048792363,0.008918417039573452,0.030472271225942267,0.09542576344172582,0.19390020602765137
1772662141.083033,0.08000016212463379,0.0012594821895023558,0.0026086658393414995,0.009900288244889232,0.032877731475994265,0.11042260689245267,0.196374241063156
1772662141.088033,0.08500003814697266,0.0014359049064667738,0.0032432544610792187,0.01088120398381775,0.03528454339288362,0.12691772434754384,0.19618314778570373
1772662141.093033,0.09000015258789062,0.0016244879438865084,0.0039676427488334835,0.011847839961243202,0.03771660748394694,0.14487765755085302,0.19332719548509017
1772662141.098033,0.09500002861022949,0.001825440224619481,0.00478676040946835,0.012787932344754806,0.04019045614659453,0.16382353212697323,0.18801847670232102
1772662141.103033,0.10000014305114746,0.0020390396749381846,0.005702144943278473,0.013691886528134757,0.04271989006374072,0.18307690676202457,0.18079083667598997
1772662141.108033,0.10500001907348633,0.002265660180156452,0.00671189701298158,0.01455001841591896,0.04532410104365344,0.20195041394062146,0.1716263775568407
1772662141.113033,0.1100001335144043,0.0025056581611425524,0.007812758938639133,0.015350987659425743,0.04799959619722014,0.22017238513151072,0.16019384870135653
1772662141.118033,0.11500000953674316,0.002759220110598702,0.009001745705567037,0.016084401302461936,0.05071238989122989,0.23779735338558086,0.14668272860723822
1772662141.123033,0.12000012397766113,0.003026288277126601,0.010275337521698291,0.01674444956349307,0.05341363330557985,0.2547183632262506,0.1320096522062265
1772662141.128033,0.125,0.003306501475632884,0.01162983166047402,0.017332983070473696,0.056042639701256586,0.2708988277551458,0.11770670139612537
1772662141.133033,0.13000011444091797,0.0035992055454646243,0.013062728039247903,0.017857896626931116,0.05854081396634799,0.28657927575477676,0.10498271129148404
1772662141.138033,0.13499999046325684,0.0039036132775176202,0.014572991808937692,0.018326170362206417,0.06088154641059918,0.3020527539379578,0.09365474705506005
1772662141.143033,0.1400001049041748,0.00421898301988557,0.016160801146264798,0.0187403272065052,0.06307394847358981,0.31756186746542103,0.08283136885975621
1772662141.148033,0.14499998092651367,0.004544690907577442,0.01782684752290091,0.01909967438825943,0.06514157753837443,0.3332092753272221,0.07186943635084599
1772662141.153033,0.15000009536743164,0.004880220673244992,0.019572810440339528,0.019399552907519366,0.06710595313351014,0.3491925834877239,0.05997570385198729
1772662141.158033,0.1549999713897705,0.005225092042551991,0.021402487866155756,0.01963175205930499,0.06897427386139975,0.36593548516324526,0.04643983035712506
1772662141.163033,0.16000008583068848,0.005578765441174302,0.023319108064114538,0.019788948965862033,0.07073467972446223,0.3833240395917567,0.03143938131140848
1772662141.168033,0.16499996185302734,0.005940540706483377,0.025320556888451664,0.019866369993424997,0.072355053061815,0.4002897648674252,0.015484205512592508
1772662141.173033,0.1700000762939453,0.006309444589471643,0.027397069200112464,0.019861844360790196,0.07378077659765321,0.41530246233216045,-0.0009051265269600338
1772662141.178033,0.17500019073486328,0.0066842923054715045,0.029532497335738397,0.019777998109374296,0.07496954319997219,0.42708562712518633,-0.016769250283179975
1772662141.183033,0.18000006675720215,0.007063912190948708,0.03171066270758154,0.019621239300049536,0.07592397709544059,0.4356330743686295,-0.03135176186495205
1772662141.188033,0.18500018119812012,0.007447193415676302,0.033922497177748326,0.019397724773840157,0.07665624494551888,0.44236689403335694,-0.04470290524187611
1772662141.193033,0.19000005722045898,0.00783303313093184,0.036165670933485494,0.019110230313001856,0.07716794305110754,0.448634751147434,-0.05749889216766015
