t,vision_x,vision_y,fused_x,fused_y,gps_x,gps_y
1772659571.0166667,3.6468601220881016,-6.38336759464886,3.6686832120030304,-6.3769255272492495,3.6686832120030304,-6.3769255272492495
1772659571.0333333,3.646079591934371,-6.383676004726953,3.6686832120030304,-6.3769255272492495,3.6688358557763263,-6.376899729895896
1772659571.05,3.647478984473898,-6.383630937348164,3.6679026818493,-6.377233937327343,3.6689884995496223,-6.376873932542542
1772659571.0666666,3.6474598195106376,-6.382239702728912,3.6693020743888267,-6.3771888699485535,3.669141143322918,-6.376848135189188
1772659571.0833333,3.6484387103545246,-6.380869773604072,3.6692829094255663,-6.3757976353293015,3.669293787096214,-6.376822337835835
1772659571.1,3.6516574998670546,-6.3805961801971955,3.6702618002694534,-6.374427706204462,3.66944643086951,-6.376796540482481
1772659571.1166663,3.6546819456335218,-6.378314350763374,3.673480543736786,-6.374154116711374,3.669599072459217,-6.376770743498161
1772659571.1333334,3.65664919373404,-6.377071527546018,3.676505119300365,-6.3718721893505625,3.669751720599691,-6.376744945406738
1772659571.15,3.6572240463675563,-6.378807410445011,3.67847231111902,-6.370629401689681,3.6699043643729867,-6.376719148053384
1772659571.1666667,3.662871439459419,-6.375603546025202,3.679047163752536,-6.372365284588674,3.6700570081462827,-6.376693350700031
1772659571.1833332,3.6640373789536222,-6.374357101619653,3.684694476057716,-6.369161466000556,3.6702096497359897,-6.376667553715712
1772659571.2,3.664874181755085,-6.376620918399546,3.6858604489102245,-6.367914985933403,3.6703622956928745,-6.376641755993323
1772659571.2166667,3.6649164566020094,-6.376393400802519,3.686697239741287,-6.370178770329569,3.6705149394661705,-6.376615958639969
1772659571.233333,3.6657922071343347,-6.376164122914931,3.6867395139834644,-6.369951255987211,3.6706675810558775,-6.37659016165565
1772659571.25,3.6670392799663456,-6.376616403773207,3.6876152895715957,-6.36972197153983,3.6708202270127623,-6.376564363933262
1772659571.2666667,3.6674704323320815,-6.376003718401423,3.688862344564325,-6.370174245928263,3.6709728707860583,-6.376538566579908
1772659571.2833333,3.667795701434726,-6.3775655774820805,3.689293496930061,-6.369561560556479,3.671125514559354,-6.376512769226554
1772659571.3,3.6682600824683655,-6.376879211530403,3.6896187660327056,-6.3711234196371365,3.67127815833265,-6.3764869718732005
